,identifier,word
278,1.1.256,(Omura
279,1.1.257,1995).
280,1.1.258,Stratum
281,1.1.259,II
282,1.1.260,and
283,1.1.261,Stratum
284,1.1.262,IIT
285,1.1.263,are
286,1.1.264,divided
287,1.1.265,into
288,1.1.266,four
289,1.1.267,‘and
290,1.1.268,three
291,1.1.269,substrata
292,1.1.270,"respectively,"
293,1.1.271,from
294,1.1.272,youngest
295,1.1.273,to
296,1.1.274,"oldest,"
297,1.1.275,Stratum
298,1.1.276,"la,"
299,1.1.277,"Ib,"
300,1.1.278,"He,"
301,1.1.279,and
302,1.1.280,"Hd,"
303,1.1.281,Stratum
304,1.1.282,Mla
305,1.1.283,(the
306,1.1.284,Hittite
307,1.1.285,Empire
308,1.1.286,"Period),"
309,1.1.287,IITb
310,1.1.288,(the
311,1.1.289,Old
312,1.1.290,Hittite
313,1.1.291,Kingdom
314,1.1.292,"Period),"
315,1.1.293,and
316,1.1.294,Ile
317,1.1.295,(the
318,1.1.296,Assyrian
319,1.1.297,Colony
320,1.1.298,Period)
321,1.1.299,(Omura
322,1.1.300,1995).
323,1.1.301,The
324,1.1.302,dating
325,1.1.303,of
326,1.1.304,the
327,1.1.305,large
328,1.1.306,iron
329,1.1.307,artifacts
330,1.1.308,(Samples
331,1.1.309,"No.1,"
332,1.1.310,"No.21,"
333,1.1.311,"No.22,"
334,1.1.312,and
335,1.1.313,"No.24),"
336,1.1.314,the
337,1.1.315,iron
338,1.1.316,lump
339,1.1.317,(Sample
340,1.1.318,"No.25),"
341,1.1.319,and
342,1.1.320,the
343,1.1.321,slag
344,1.1.322,(Sample
345,1.1.323,No.26)
346,1.1.324,is
347,1.1.325,discussed
348,1.1.326,later
349,1.1.327,in
350,1.1.328,this
351,1.1.329,paper
352,1.1.330,and
353,1.1.331,is
354,1.1.332,based
355,1.1.333,on
356,1.1.334,Dr-Sachihiro
357,1.1.335,Omura’s
358,1.1.336,research.
359,1.1.337,objects
360,1.1.338,or
361,1.1.339,the
362,1.1.340,raw
363,1.1.341,iron
364,1.1.342,materials
365,1.1.343,used
366,1.1.344,to
367,1.1.345,make
368,1.1.346,iron
369,1.1.347,objects
370,1.1.348,changed
371,1.1.349,over
372,1.1.350,time
373,1.1.351,from
374,1.1.352,Stratum
375,1.1.353,IId
376,1.1.354,to
377,1.1.355,Stratum
378,1.1.356,Ta.
379,1.1.357,We
380,1.1.358,can
381,1.1.359,also
382,1.1.360,hypothesize
383,1.1.361,that
384,1.1.362,either
385,1.1.363,an
386,1.1.364,increase
387,1.1.365,in
388,1.1.366,the
389,1.1.367,supply
390,1.1.368,of
391,1.1.369,iron
392,1.1.370,objects
393,1.1.371,or
394,1.1.372,raw
395,1.1.373,iron
396,1.1.374,"materials,"
397,1.1.375,or
398,1.1.376,an
399,1.1.377,increase
400,1.1.378,in
401,1.1.379,iron
402,1.1.380,production
403,1.1.381,occurred
404,1.1.382,in
405,1.1.383,the
406,1.1.384,age
407,1.1.385,of
408,1.1.386,Stratum
409,1.1.387,Ila’.
410,1.1.388,The
411,1.1.389,actual
412,1.1.390,development
413,1.1.391,of
414,1.1.392,the
415,1.1.393,widespread
416,1.1.394,use
417,1.1.395,of
418,1.1.396,iron
419,1.1.397,is
420,1.1.398,not
421,1.1.399,"clear,"
422,1.1.400,"however,"
423,1.1.401,due
424,1.1.402,to
425,1.1.403,the
426,1.1.404,difficulty
427,1.1.405,in
428,1.1.406,determining
429,1.1.407,the
430,1.1.408,stratigraphic
431,1.1.409,relationship
432,1.1.410,of
433,1.1.411,some
434,1.1.412,excavation
435,1.1.413,levels
436,1.1.414,within
437,1.1.415,the
438,1.1.416,three
439,1.1.417,substrata
440,1.1.418,in
441,1.1.419,Stratum
442,1.1.420,III
443,1.1.421,and
444,1.1.422,the
445,1.1.423,four
446,1.1.424,substrata
447,1.1.425,in
448,1.1.426,Stratum
449,1.1.427,II.
450,1.1.428,In
451,1.1.429,order
452,1.1.430,to
453,1.1.431,resolve
454,1.1.432,this
455,1.1.433,"problem,"
456,1.1.434,it
457,1.1.435,is
458,1.1.436,necessary
459,1.1.437,to
460,1.1.438,examine
461,1.1.439,the
462,1.1.440,composition
463,1.1.441,of
464,1.1.442,iron
465,1.1.443,objects
466,1.1.444,excavated
467,1.1.445,from
468,1.1.446,architectural
469,1.1.447,remains
470,1.1.448,whose
471,1.1.449,date
472,1.1.450,can
473,1.1.451,be
474,1.1.452,more
475,1.1.453,clearly
476,1.1.454,identified.
477,1.1.455,Doing
478,1.1.456,so
479,1.1.457,shows
480,1.1.458,that
481,1.1.459,the
482,1.1.460,compositions
483,1.1.461,of
484,1.1.462,iron
485,1.1.463,artifacts
486,1.1.464,from
487,1.1.465,Stratum
488,1.1.466,"IIIc,"
489,1.1.467,"IIb,"
490,1.1.468,and
491,1.1.469,Ila
492,1.1.470,are
493,1.1.471,different.
494,1.1.472,These
495,1.1.473,results
496,1.1.474,indicate
497,1.1.475,that
498,1.1.476,the
499,1.1.477,production
500,1.1.478,and
501,1.1.479,circulation
502,1.1.480,systems
503,1.1.481,of
504,1.1.482,both
505,1.1.483,raw
506,1.1.484,iron
507,1.1.485,materials
508,1.1.486,and
509,1.1.487,manufactured
510,1.1.488,iron
511,1.1.489,objects
512,1.1.490,at
513,1.1.491,Kaman-Kalehoyiik
514,1.1.492,may
515,1.1.493,have
516,1.1.494,changed
517,1.1.495,during
518,1.1.496,the
519,1.1.497,periods
520,1.1.498,of
521,1.1.499,Stratum
522,1.1.500,III
523,1.1.501,and
524,1.1.502,Stratum
525,1.1.503,II.
526,1.1.504,This
527,1.1.505,paper
528,1.1.506,will
529,1.1.507,explain
530,1.1.508,these
531,1.1.509,results
532,1.1.510,based
533,1.1.511,on
534,1.1.512,the
535,1.1.513,archaeometallurgical
536,1.1.514,analysis
537,1.1.515,of
538,1.1.516,iron
539,1.1.517,objects
540,1.1.518,found
541,1.1.519,in
542,1.1.520,the
543,1.1.521,architectural
544,1.1.522,remains
545,1.1.523,excavated
546,1.1.524,during
547,1.1.525,the
548,1.1.526,11th
549,1.1.527,to
550,1.1.528,15th
551,1.1.529,seasons
552,1.1.530,at
553,1.1.531,Kaman-Kalehéyiik.
554,1.1.532,2
555,1.1.533,EXPERIMENTAL
556,1.1.534,2-1
557,1.1.535,Archaeological
558,1.1.536,objects
559,1.1.537,Twenty-six
560,1.1.538,iron
561,1.1.539,objects
562,1.1.540,(Nos.
563,1.1.541,to
564,1.1.542,"26),"
565,1.1.543,consisting
566,1.1.544,of
567,1.1.545,iron
568,1.1.546,"artifacts,"
569,1.1.547,iron
570,1.1.548,"lumps,"
571,1.1.549,and
572,1.1.550,"slag,"
573,1.1.551,excavated
574,1.1.552,between
575,1.1.553,1994
576,1.1.554,and
577,1.1.555,1999
578,1.1.556,by
579,1.1.557,Dr.
580,1.1.558,Sachihiro
581,1.1.559,Omura
582,1.1.560,and
583,1.1.561,his
584,1.1.562,As
585,1.1.563,will
586,1.1.564,be
587,1.1.565,described
588,1.1.566,"later,"
589,1.1.567,it
590,1.1.568,is
591,1.1.569,quite
592,1.1.570,probable
593,1.1.571,that
594,1.1.572,the
595,1.1.573,steel
596,1.1.574,used
597,1.1.575,to
598,1.1.576,‘make
599,1.1.577,iron
600,1.1.578,artifacts
601,1.1.579,was
602,1.1.580,not
603,1.1.581,produced
604,1.1.582,directly
605,1.1.583,by
606,1.1.584,smelting.
607,1.1.585,It
608,1.1.586,is
609,1.1.587,fairly
610,1.1.588,conclusive
611,1.1.589,that
612,1.1.590,some
613,1.1.591,kinds
614,1.1.592,of
615,1.1.593,treatment
616,1.1.594,had
617,1.1.595,been
618,1.1.596,given
619,1.1.597,to
620,1.1.598,iron
621,1.1.599,produced
622,1.1.600,by
623,1.1.601,"smelting,"
624,1.1.602,and
625,1.1.603,as
626,1.1.604,a
627,1.1.605,result
628,1.1.606,steel
629,1.1.607,was
630,1.1.608,produced.
631,1.1.609,For
632,1.1.610,this
633,1.1.611,"reason,"
634,1.1.612,the
635,1.1.613,terms
636,1.1.614,"""steel"""
637,1.1.615,and
638,1.1.616,"""iron"""
639,1.1.617,are
640,1.1.618,used
641,1.1.619,separately
642,1.1.620,in
643,1.1.621,this
644,1.1.622,paper.
645,1.2.0,192
646,1.2.1,H.
647,1.2.2,AKAANUMA
648,1.2.3,coworkers
649,1.2.4,from
650,1.2.5,the
651,1.2.6,Middle
652,1.2.7,Eastern
653,1.2.8,Culture
654,1.2.9,Center
655,1.2.10,in
656,1.2.11,"Japan,"
657,1.2.12,were
658,1.2.13,subjected
659,1.2.14,to
660,1.2.15,archaeometallurgical
661,1.2.16,analysis.
662,1.2.17,Table
663,1.2.18,lists
664,1.2.19,the
665,1.2.20,archaeological
666,1.2.21,provenience
667,1.2.22,data
668,1.2.23,for
669,1.2.24,each
670,1.2.25,iron
671,1.2.26,object.
672,1.2.27,Samples
673,1.2.28,from
674,1.2.29,iron
675,1.2.30,"objects,"
676,1.2.31,with
677,1.2.32,the
678,1.2.33,exception
679,1.2.34,of
680,1.2.35,Nos.16
681,1.2.36,to
682,1.2.37,"19,"
683,1.2.38,were
684,1.2.39,taken
685,1.2.40,in
686,1.2.41,the
687,1.2.42,Kaman-Kalehéyiik
688,1.2.43,laboratory
689,1.2.44,by
690,1.2.45,the
691,1.2.46,author
692,1.2.47,in
693,1.2.48,the
694,1.2.49,summer
695,1.2.50,of
696,1.2.51,1999.
697,1.2.52,Six
698,1.2.53,iron
699,1.2.54,objects
700,1.2.55,"(Nos.4,"
701,1.2.56,"16,"
702,1.2.57,"19,"
703,1.2.58,"20,"
704,1.2.59,"25,"
705,1.2.60,and
706,1.2.61,26)
707,1.2.62,and
708,1.2.63,one
709,1.2.64,iron
710,1.2.65,slag
711,1.2.66,(No.10)
712,1.2.67,whose
713,1.2.68,analytical
714,1.2.69,results
715,1.2.70,have
716,1.2.71,already
717,1.2.72,been
718,1.2.73,reported
719,1.2.74,(Akanuma
720,1.2.75,"1995,"
721,1.2.76,"1997,"
722,1.2.77,"2000,"
723,1.2.78,2001)
724,1.2.79,are
725,1.2.80,also
726,1.2.81,listed
727,1.2.82,in
728,1.2.83,Table
729,1.2.84,"1,"
730,1.2.85,and
731,1.2.86,those
732,1.2.87,results
733,1.2.88,are
734,1.2.89,re-examined
735,1.2.90,in
736,1.2.91,this
737,1.2.92,paper.
738,1.2.93,2-2
739,1.2.94,Sample
740,1.2.95,preparation
741,1.2.96,Samples
742,1.2.97,of
743,1.2.98,approximately
744,1.2.99,eighty
745,1.2.100,to
746,1.2.101,one
747,1.2.102,hundred
748,1.2.103,milligrams
749,1.2.104,were
750,1.2.105,taken
751,1.2.106,from
752,1.2.107,the
753,1.2.108,iron
754,1.2.109,artifacts
755,1.2.110,that
756,1.2.111,appeared
757,1.2.112,well
758,1.2.113,preserved.
759,1.2.114,This
760,1.2.115,was
761,1.2.116,performed
762,1.2.117,by
763,1.2.118,using
764,1.2.119,a
765,1.2.120,portable
766,1.2.121,drill
767,1.2.122,equipped
768,1.2.123,with
769,1.2.124,a
770,1.2.125,diamond-cutting
771,1.2.126,wheel.
772,1.2.127,Close
773,1.2.128,attention
774,1.2.129,was
775,1.2.130,paid
776,1.2.131,to
777,1.2.132,avoid
778,1.2.133,damage
779,1.2.134,to
780,1.2.135,their
781,1.2.136,intact
782,1.2.137,forms.
783,1.2.138,Iron
784,1.2.139,slag
785,1.2.140,was
786,1.2.141,cut
787,1.2.142,into
788,1.2.143,two
789,1.2.144,"portions,"
790,1.2.145,and
791,1.2.146,then
792,1.2.147,the
793,1.2.148,samples
794,1.2.149,were
795,1.2.150,extracted
796,1.2.151,from
797,1.2.152,the
798,1.2.153,cut
799,1.2.154,section.
800,1.2.155,Each
801,1.2.156,sample
802,1.2.157,was
803,1.2.158,divided
804,1.2.159,into
805,1.2.160,two
806,1.2.161,parts:
807,1.2.162,the
808,1.2.163,larger
809,1.2.164,part
810,1.2.165,was
811,1.2.166,used
812,1.2.167,for
813,1.2.168,metallographic
814,1.2.169,"observation,"
815,1.2.170,and
816,1.2.171,the
817,1.2.172,Table
818,1.2.173,1
819,1.2.174,Examined
820,1.2.175,iron
821,1.2.176,objects
822,1.2.177,Description
823,1.2.178,_of
824,1.2.179,Excavation
825,1.2.180,smaller
826,1.2.181,part
827,1.2.182,was
828,1.2.183,used
829,1.2.184,for
830,1.2.185,chemical
831,1.2.186,analysis.
832,1.2.187,2-3
833,1.2.188,Analytical
834,1.2.189,method
835,1.2.190,The
836,1.2.191,samples
837,1.2.192,to
838,1.2.193,be
839,1.2.194,used
840,1.2.195,for
841,1.2.196,metallographic
842,1.2.197,observation
843,1.2.198,were
844,1.2.199,"sectioned,"
845,1.2.200,mounted
846,1.2.201,with
847,1.2.202,epoxy
848,1.2.203,"resin,"
849,1.2.204,ground
850,1.2.205,with
851,1.2.206,emery
852,1.2.207,paper
853,1.2.208,and
854,1.2.209,then
855,1.2.210,polished
856,1.2.211,using
857,1.2.212,diamond
858,1.2.213,paste.
859,1.2.214,The
860,1.2.215,prepared
861,1.2.216,samples
862,1.2.217,were
863,1.2.218,then
864,1.2.219,examined
865,1.2.220,under
866,1.2.221,an
867,1.2.222,optical
868,1.2.223,microscope.
869,1.2.224,If
870,1.2.225,the
871,1.2.226,sample
872,1.2.227,had
873,1.2.228,large
874,1.2.229,areas
875,1.2.230,of
876,1.2.231,metallic
877,1.2.232,"iron,"
878,1.2.233,it
879,1.2.234,was
880,1.2.235,etched
881,1.2.236,with
882,1.2.237,nital
883,1.2.238,(2.5ml
884,1.2.239,"HNO,"
885,1.2.240,and
886,1.2.241,97.5ml
887,1.2.242,EtOH)
888,1.2.243,before
889,1.2.244,optical
890,1.2.245,examination.
891,1.2.246,Electron
892,1.2.247,microprobe
893,1.2.248,analyses
894,1.2.249,were
895,1.2.250,performed
896,1.2.251,with
897,1.2.252,a
898,1.2.253,JEOL
899,1.2.254,JXA
900,1.2.255,"8800-R,"
901,1.2.256,equipped
902,1.2.257,with
903,1.2.258,three
904,1.2.259,wavelength-dispersive
905,1.2.260,X-ray
906,1.2.261,"spectrometers,"
907,1.2.262,in
908,1.2.263,order
909,1.2.264,to
910,1.2.265,identify
911,1.2.266,the
912,1.2.267,mineral
913,1.2.268,phase
914,1.2.269,compositions
915,1.2.270,of
916,1.2.271,non-
917,1.2.272,metallic
918,1.2.273,inclusions
919,1.2.274,in
920,1.2.275,the
921,1.2.276,iron
922,1.2.277,artifacts
923,1.2.278,and
924,1.2.279,of
925,1.2.280,slag.
926,1.2.281,The
927,1.2.282,samples
928,1.2.283,to
929,1.2.284,be
930,1.2.285,used
931,1.2.286,for
932,1.2.287,chemical
933,1.2.288,analysis
934,1.2.289,had
935,1.2.290,their
936,1.2.291,external
937,1.2.292,corrosion
938,1.2.293,layers
939,1.2.294,removed
940,1.2.295,with
941,1.2.296,a
942,1.2.297,diamond-
943,1.2.298,coated
944,1.2.299,wheel
945,1.2.300,to
946,1.2.301,avoid
947,1.2.302,contamination
948,1.2.303,from
949,1.2.304,burial
950,1.2.305,deposits.
951,1.2.306,Inductively
952,1.2.307,coupled
953,1.2.308,plasma
954,1.2.309,optical
955,1.2.310,emission
956,1.2.311,spectroscopy
957,1.2.312,"(ICP-OES),"
958,1.2.313,using
959,1.2.314,a
960,1.2.315,PERKIN
961,1.2.316,ELMER
962,1.2.317,Optima
963,1.2.318,"4300DV,"
964,1.2.319,was
965,1.2.320,employed
966,1.2.321,for
967,1.2.322,the
968,1.2.323,chemical
969,1.2.324,analysis
970,1.2.325,of
971,1.2.326,the
972,1.2.327,twelve
973,1.2.328,elements
974,1.2.329,contained
975,1.2.330,in
976,1.2.331,the
977,1.2.332,samples.
978,1.2.333,Approximately
979,1.2.334,twenty-six
980,1.2.335,milligrams
981,1.2.336,of
982,1.2.337,each
983,1.2.338,Object
984,1.2.339,Grid
985,1.2.340,Fragment
986,1.2.341,1
987,1.2.342,[Tool
988,1.2.343,2.
989,1.2.344,[Fragment
990,1.2.345,3_|
991,1.2.346,Fragment
992,1.2.347,970702
993,1.2.348,i
994,1.2.349,5
995,1.2.350,i
996,1.2.351,4
997,1.2.352,|Ring-shaped
998,1.2.353,object.
999,1.2.354,970915
1000,1.2.355,|10-b_R28
1001,1.2.356,|R:
1002,1.2.357,5_|Fragment
1003,1.2.358,North
1004,1.2.359,XV
1005,1.2.360,JXIV.
1006,1.2.361,XXXVIF-53(8)
1007,1.2.362,970915
1008,1.2.363,|10-b_
1009,1.2.364,R28
1010,1.2.365,|R28
1011,1.2.366,Ib
1012,1.2.367,6
1013,1.2.368,|Fragment
1014,1.2.369,970915
1015,1.2.370,|10-b
1016,1.2.371,R28
1017,1.2.372,|R28
1018,1.2.373,Ib
1019,1.2.374,7
1020,1.2.375,_|Fragment.
1021,1.2.376,970915
1022,1.2.377,|10-b
1023,1.2.378,R28
1024,1.2.379,|R28
1025,1.2.380,Ib
1026,1.2.381,8
1027,1.2.382,{Slag
1028,1.2.383,970915
1029,1.2.384,|10-b_R28
1030,1.2.385,|R28
1031,1.2.386,Ib
1032,1.2.387,9
1033,1.2.388,[Fragment
1034,1.2.389,990812
1035,1.2.390,|17
1036,1.2.391,P2187
1037,1.2.392,=
1038,1.2.393,10
1039,1.2.394,|Slag
1040,1.2.395,North
1041,1.2.396,XIX
1042,1.2.397,|XXXVII-56(23)
1043,1.2.398,990820
1044,1.2.399,|21
1045,1.2.400,R291
1046,1.2.401,=
1047,1.2.402,11
1048,1.2.403,[Fragment
1049,1.2.404,990826
1050,1.2.405,|25
1051,1.2.406,R291
1052,1.2.407,Ta
1053,1.2.408,XXXVII-56(17)
1054,1.2.409,14
1055,1.2.410,Fragment
1056,1.2.411,-
1057,1.2.412,990805
1058,1.2.413,|17
1059,1.2.414,P2170
1060,1.2.415,|P2170
1061,1.2.416,15
1062,1.2.417,|Lump
1063,1.2.418,AOKIXo6¢12)
1064,1.2.419,990827
1065,1.2.420,|24
1066,1.2.421,—
1067,1.2.422,16
1068,1.2.423,[Fragment
1069,1.2.424,940727
1070,1.2.425,|13
1071,1.2.426,R150
1072,1.2.427,Tc
1073,1.2.428,17
1074,1.2.429,|Fragment
1075,1.2.430,North
1076,1.2.431,XIL
1077,1.2.432,7
1078,1.2.433,940714
1079,1.2.434,|12
1080,1.2.435,R150
1081,1.2.436,Mc
1082,1.2.437,18
1083,1.2.438,[Fragment
1084,1.2.439,[12
1085,1.2.440,Ri50___|Illc
1086,1.2.441,[Fragment
1087,1.2.442,North
1088,1.2.443,IV_
1089,1.2.444,XXXIX-55(H)
1090,1.2.445,890710
1091,1.2.446,138
1092,1.2.447,20
1093,1.2.448,|Lump
1094,1.2.449,5
1095,1.2.450,970901
1096,1.2.451,_|10-a
1097,1.2.452,i
1098,1.2.453,Fool
1099,1.2.454,North
1100,1.2.455,XIV
1101,1.2.456,|XXXVII-52(1)
1102,1.2.457,970724
1103,1.2.458,113.
1104,1.2.459,=
1105,1.2.460,Ta
1106,1.2.461,2
1107,1.2.462,North
1108,1.2.463,XIll_|XL-52(QQ)
1109,1.2.464,(970826
1110,1.2.465,|17
1111,1.2.466,P1823
1112,1.2.467,North
1113,1.2.468,XXV_[XLI-52(57)
1114,1.2.469,970902
1115,1.2.470,_|7-b
1116,1.2.471,24
1117,1.2.472,|Trifid
1118,1.2.473,tool
1119,1.2.474,North
1120,1.2.475,XVI_|XXXV-52(11)
1121,1.2.476,970725
1122,1.2.477,|i
1123,1.2.478,3
1124,1.2.479,a
1125,1.2.480,[25
1126,1.2.481,[Lump
1127,1.2.482,960823
1128,1.2.483,|16
1129,1.2.484,Ta
1130,1.2.485,South
1131,1.2.486,LIV
1132,1.2.487,|LIX-50(79)
1133,1.2.488,960814
1134,1.2.489,116
1135,1.2.490,Ta
1136,1.2.491,Level__[
1137,1.2.492,Structure
1138,1.2.493,990819
1139,1.2.494,|21
1140,1.2.495,P2196
1141,1.2.496,=
1142,1.2.497,990819
1143,1.2.498,|21
1144,1.2.499,P2196
1145,1.2.500,=
1146,1.2.501,Descriptions
1147,1.2.502,of
1148,1.2.503,Excavation
1149,1.2.504,and
1150,1.2.505,Stratum
1151,1.2.506,are
1152,1.2.507,according
1153,1.2.508,to
1154,1.2.509,Dr.Sachihiro
1155,1.2.510,Omura.
1156,1.2.511,No.10
1157,1.2.512,is
1158,1.2.513,assumed
1159,1.2.514,that
1160,1.2.515,it
1161,1.2.516,has
1162,1.2.517,a
1163,1.2.518,possibility
1164,1.2.519,that
1165,1.2.520,it
1166,1.2.521,is
1167,1.2.522,belonged
1168,1.2.523,to
1169,1.2.524,Stratum
1170,1.2.525,Ila.
1171,1.2.526,TRON
1172,1.2.527,OBJECTS
1173,1.2.528,FROM
1174,1.2.529,THE
1175,1.2.530,ARCHITECTURAL
1176,1.2.531,REMAINS
1177,1.2.532,OF
1178,1.2.533,STRATUM
1179,1.2.534,Ill
1180,1.2.535,AND
1181,1.2.536,STRATUM
1182,1.2.537,I
1183,1.2.538,AT
1184,1.2.539,KAMAN-KALEHOYUK:
1185,1.2.540,CORRELATION
1186,1.2.541,BETWEEN
1187,1.2.542,COMPOSITION
1188,1.2.543,AND
1189,1.2.544,ARCHABOLOGICAL
